standard,nutrient_key,display_name,category,life_stage_group,age_min_months,age_max_months,unit,rda_value,ai_value,ul_value,source_files
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,BREASTFEEDING,157,216,μg,360000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,BREASTFEEDING,217,360,μg,310000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,BREASTFEEDING,361,600,μg,320000,,350000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,CHILD,13,36,μg,,1200,2000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,CHILD,37,96,μg,,1500,3000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,97,156,μg,,1900,6000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,157,216,μg,,2200,9000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,217,360,μg,,2300,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,361,600,μg,,2300,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,601,840,μg,,2300,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,841,9999,μg,,2300,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,FEMALE,97,156,μg,,1600,6000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,FEMALE,157,216,μg,,1600,9000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,FEMALE,217,360,μg,,1800,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,FEMALE,361,600,μg,,1800,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,FEMALE,601,840,μg,,1800,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,FEMALE,841,9999,μg,,1800,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,PREGNANT,157,216,μg,,2000,9000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,PREGNANT,217,360,μg,,2000,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,PREGNANT,361,600,μg,,2000,11000,rec_elements.csv; upper_elements.csv
DRI_US_CA,MANGANESE,Manganese,MINERAL,BREASTFEEDING,157,216,μg,,2600,9000,rec_elements.csv; upper_elements.csv
